,question,modified_relation
4198,Which animal in this image can build nest?,CapableOf
4199,Which animal in this image can build nest?,CapableOf
4196,Which animal in this image can build nest?,CapableOf
4197,Which animal in this image can build nest?,CapableOf
4194,Which animal in this image can build nest?,CapableOf
4195,Which animal in this image can build nest?,CapableOf
4192,Which animal in this image can build nest?,CapableOf
4193,Which animal in this image can build nest?,CapableOf
4190,Which animal in this image can build nest?,CapableOf
4191,Which animal in this image can build nest?,CapableOf
4189,Which animal in this image can build nest?,CapableOf
4188,Which animal in this image can build nest?,CapableOf
4181,Which animal in this image can build nest?,CapableOf
4180,Which animal in this image can build nest?,CapableOf
4183,Which animal in this image can build nest?,CapableOf
4182,Which animal in this image can build nest?,CapableOf
4185,Which animal in this image can build nest?,CapableOf
4184,Which animal in this image can build nest?,CapableOf
4187,Which animal in this image can build nest?,CapableOf
4186,Which animal in this image can build nest?,CapableOf
4200,Which animal in this image can build nest?,CapableOf
4201,Which animal in this image can build nest?,CapableOf
4179,Which animal in this image can build nest?,CapableOf
5670,Which object in this image is generally smaller than lake?,Comparative
5671,What can be found in this place?,AtLocation
5465,What can be found in this place?,AtLocation
5672,Who are humans in this image?,Category
1327,Which object in this image belongs to the category Human?,Category
1870,What in this image belongs to the category Human?,Category
2138,Those who play with the objects in the image belong to what species?,Category
1693,which object in this picture comes from the category of human,Category
5673,Which object in this image has a string,HasA
3337,Which object in this image has strings?,HasA
3335,Which object in this image has strings?,HasA
5675,What is the place in this image used for?,UsedFor
5677,what's in the middle of this image?,AtLocation
5678,Which object in this image is used to display image?,CapableOf
1132,Which object in this image can display images?,CapableOf
3588,Which object in this image is capable of displaying images?,CapableOf
5216,What device can display images?,CapableOf
3404,Which digital object in this image is capable of display image?,CapableOf
4117,Which object in this image is capable of displaying images?,CapableOf
5679,what's shown in the top of the image,AtLocation
2614,What can you expect to find in a place like this?,AtLocation
1149,What can be found in this room?,AtLocation
238,What object in this image used for the toilet?,UsedFor
239,Which thing in the image has a seat?,RelatedTo
234,Which fruit in the image is round?,RelatedTo
235,What is the place?,AtLocation
2732,Where can the object in the centre of this image be found?,AtLocation
903,What is the place in this image?,AtLocation
236,Which tool can you see is used to turn screws,UsedFor
831,Which tool demonstrated can be used by a man to turn screws,UsedFor
237,Which tool will you choose to pull out screws?,UsedFor
832,"If I want to pull out screws, which tool can I use?",UsedFor
231,Which fruit in this image is juicy,HasProperty
4711,Which object in this image has the property of juicy?,HasProperty
232,Which food is the most related to lemon,RelatedTo
233,Which one in the image belongs to the Tropical fruit?,Category
2538,Which object in this image can be found in the child's hand?,AtLocation
2539,What can you find in the sand by the ocean?,AtLocation
2532,What animal in the image can rest standing up?,CapableOf
2533,Which object in this image is related to grasscutting?,RelatedTo
2530,Which object in this image is a wheel box use to transport things?,IsA
2531,Which object in this image could pull a buggy to a picnic?,CapableOf
2536,Which object in this image is related to rain?,RelatedTo
2537,which object in this image can we find to be related to surf,RelatedTo
2800,Which object in this image is related to surf?,RelatedTo
3725,Which object in this image used to surf?,RelatedTo
2534,Which object in this image has trucks?,RelatedTo
2535,What is the place in this image used for?,UsedFor
5078,which object in this image can die of prostate cancer?,CapableOf
5079,which object in this image is capable of using weights when doing aerobics?,CapableOf
5072,What mollusc is in this image?,Category
2314,What object in this image is a type of mollusc?,Category
5073,Which object in this image has no legs?,HasA
667,Does the animal in the image has legs?,HasA
5070,Which object in this image is a animal?,IsA
5071,what does the object in the right has as a part,HasA
2317,What does the object in the right of this image have as a part?,HasA
10,What is special of the animal in the image?,HasA
5060,Which object in this image has a shell?,HasA
4091,Which animal in this image has a shell?,HasA
5076,which object in this image is capable of borrowing a book?,CapableOf
5077,which object in this image is capable of reading a book?,CapableOf
2265,which object in this picture can read,CapableOf
5074,What object in this image is found in a shell?,AtLocation
5075,Which object in this image can be played by an accordionist?,RelatedTo
939,What do we call the fast food in the image?,Category
5467,Which object in this image belongs to the category Fast food?,Category
938,What object in this image is used for playing music?,UsedFor
5011,Which object in this image is used for playing music?,UsedFor
2069,Which object in this image is used for play music?,UsedFor
933,What thing in the image can be driven?,ReceivesAction
932,What the sign in the image for?,UsedFor
3402,Which other object than the traffic light is used to control the traffic? ,UsedFor
509,Which object in this image is used to control traffic,UsedFor
931,What water vehicle is depicted here?,RelatedTo
208,what object in this image will you find on the water?,RelatedTo
930,Which activity shown here is related to surfing?,RelatedTo
937,What can you feel in this weather?,Category
